,open,close,high,low,value,volume,begin,end
46,102.0,101.85,103.55,101.5,4802709246.97,46799069,2007-09-24 00:00:00,2007-09-24 23:59:59
47,101.3,98.58,101.39,98.45,4341034880.46,43550292,2007-09-25 00:00:00,2007-09-25 23:59:59
48,100.0,100.89,100.95,99.42,4024810612.17,40172687,2007-09-26 00:00:00,2007-09-26 23:59:59
49,101.81,102.15,102.35,100.71,5368817125.6,52751775,2007-09-27 00:00:00,2007-09-27 23:59:59
50,102.18,103.5,103.69,101.5,4182043043.54,40677443,2007-09-28 00:00:00,2007-09-28 23:59:59
51,102.8,100.98,102.88,100.2,3670289649.36,36133332,2007-10-01 00:00:00,2007-10-01 23:59:59
52,102.68,104.89,105.1,102.55,7045893643.33,67372708,2007-10-02 00:00:00,2007-10-02 23:59:59
53,104.51,103.31,105.8,102.85,7960223055.53,76226288,2007-10-03 00:00:00,2007-10-03 23:59:59
54,102.81,100.65,103.51,100.23,9736992044.75,95390560,2007-10-04 00:00:00,2007-10-04 23:59:59
55,101.74,102.3,102.91,101.05,6214458803.87,60845570,2007-10-05 00:00:00,2007-10-05 23:59:59
56,103.0,103.82,105.19,102.6,6989062592.51,67202150,2007-10-08 00:00:00,2007-10-08 23:59:59
57,103.57,105.7,106.15,103.01,6106644711.21,57990875,2007-10-09 00:00:00,2007-10-09 23:59:59
58,106.54,105.73,106.89,104.61,6133672077.54,57917651,2007-10-10 00:00:00,2007-10-10 23:59:59
59,106.03,107.8,107.8,105.8,8805316887.71,82261544,2007-10-11 00:00:00,2007-10-11 23:59:59
60,106.14,108.5,108.85,105.52,6428669813.74,59678525,2007-10-12 00:00:00,2007-10-12 23:59:59
61,109.12,109.9,110.38,108.5,5627314244.9,51264073,2007-10-15 00:00:00,2007-10-15 23:59:59
62,109.0,109.2,109.8,107.66,5968357229.4,54934309,2007-10-16 00:00:00,2007-10-16 23:59:59
63,108.46,108.44,108.98,107.6,4253061513.41,39268211,2007-10-17 00:00:00,2007-10-17 23:59:59
64,108.55,106.75,109.27,106.0,4189674764.13,38999334,2007-10-18 00:00:00,2007-10-18 23:59:59
65,106.2,107.41,108.35,105.99,4167553111.34,38823387,2007-10-19 00:00:00,2007-10-19 23:59:59
66,105.01,105.5,106.29,104.35,5825967419.93,55190297,2007-10-22 00:00:00,2007-10-22 23:59:59
67,106.94,106.66,107.55,106.51,3915671660.24,36590796,2007-10-23 00:00:00,2007-10-23 23:59:59
68,106.26,105.6,106.94,105.35,4483613673.44,42236479,2007-10-24 00:00:00,2007-10-24 23:59:59
69,106.3,106.9,108.18,106.01,6168421646.7,57603123,2007-10-25 00:00:00,2007-10-25 23:59:59
70,107.6,107.75,108.53,106.8,5234871015.73,48609803,2007-10-26 00:00:00,2007-10-26 23:59:59
71,108.5,106.45,108.93,106.41,6524741561.72,60840314,2007-10-29 00:00:00,2007-10-29 23:59:59
72,106.45,104.3,106.5,103.63,12361074482.68,117972374,2007-10-30 00:00:00,2007-10-30 23:59:59
73,105.4,106.48,106.88,104.72,6200805907.08,58405559,2007-10-31 00:00:00,2007-10-31 23:59:59
74,107.51,106.28,107.78,105.11,8346091024.23,78386861,2007-11-01 00:00:00,2007-11-01 23:59:59
75,104.5,105.99,106.2,104.0,6470689885.38,61442118,2007-11-02 00:00:00,2007-11-02 23:59:59
76,105.3,106.7,107.2,105.0,3982548888.17,37346394,2007-11-06 00:00:00,2007-11-06 23:59:59
77,106.9,106.58,107.4,105.55,4751144262.08,44531876,2007-11-07 00:00:00,2007-11-07 23:59:59
78,105.3,106.9,107.7,104.92,4664937260.08,43788775,2007-11-08 00:00:00,2007-11-08 23:59:59
79,106.6,105.25,107.5,105.02,3647324684.61,34402492,2007-11-09 00:00:00,2007-11-09 23:59:59
80,104.5,106.0,106.22,104.41,3280236810.19,31045779,2007-11-12 00:00:00,2007-11-12 23:59:59
81,105.93,105.15,106.25,104.8,3624701692.81,34403599,2007-11-13 00:00:00,2007-11-13 23:59:59
82,106.2,105.41,106.5,104.73,5297815025.45,50181635,2007-11-14 00:00:00,2007-11-14 23:59:59
83,105.1,105.11,105.49,104.76,2154492880.3,20507297,2007-11-15 00:00:00,2007-11-15 23:59:59
84,104.8,103.6,104.98,103.2,3870725350.6,37260960,2007-11-16 00:00:00,2007-11-16 23:59:59
85,103.66,102.25,104.25,102.0,2592991014.78,25078840,2007-11-19 00:00:00,2007-11-19 23:59:59
86,102.3,101.55,103.14,101.1,3465375251.44,33982927,2007-11-20 00:00:00,2007-11-20 23:59:59
87,101.5,99.3,101.5,98.85,4988605716.68,49899990,2007-11-21 00:00:00,2007-11-21 23:59:59
88,99.01,97.36,100.37,96.94,6651270769.44,67837106,2007-11-22 00:00:00,2007-11-22 23:59:59
89,98.0,99.26,99.27,96.8,5341626926.12,54542396,2007-11-23 00:00:00,2007-11-23 23:59:59
90,100.5,101.49,102.39,100.06,8119316649.28,79987259,2007-11-26 00:00:00,2007-11-26 23:59:59
91,100.77,100.15,101.75,98.78,5300615701.89,52717849,2007-11-27 00:00:00,2007-11-27 23:59:59
92,100.5,101.14,101.7,99.31,4667563505.95,46443474,2007-11-28 00:00:00,2007-11-28 23:59:59
93,102.5,102.35,104.0,102.06,6405798078.98,62139049,2007-11-29 00:00:00,2007-11-29 23:59:59
94,102.95,103.74,104.25,102.69,5075658080.0,48949532,2007-11-30 00:00:00,2007-11-30 23:59:59
95,103.9,103.8,104.58,103.05,3750953762.04,36088675,2007-12-03 00:00:00,2007-12-03 23:59:59
96,104.0,102.98,104.09,102.5,3736517384.86,36266335,2007-12-04 00:00:00,2007-12-04 23:59:59
97,103.21,104.28,104.39,102.96,4971107428.63,47975356,2007-12-05 00:00:00,2007-12-05 23:59:59
98,104.85,103.99,105.4,103.6,6618568151.71,63132559,2007-12-06 00:00:00,2007-12-06 23:59:59
99,104.8,104.8,105.58,104.55,4924893760.15,46921506,2007-12-07 00:00:00,2007-12-07 23:59:59
100,104.7,106.99,107.75,104.01,8412169861.14,78996378,2007-12-10 00:00:00,2007-12-10 23:59:59
101,107.57,108.2,109.51,107.57,9198653574.95,84664046,2007-12-11 00:00:00,2007-12-11 23:59:59
102,106.7,108.45,108.45,106.57,6982682859.07,64954772,2007-12-12 00:00:00,2007-12-12 23:59:59
103,107.5,106.0,107.5,105.25,6653642062.25,62633715,2007-12-13 00:00:00,2007-12-13 23:59:59
104,106.0,104.7,106.54,103.44,4524562382.6,42936997,2007-12-14 00:00:00,2007-12-14 23:59:59
105,103.6,103.58,104.65,102.17,4826001338.91,46569912,2007-12-17 00:00:00,2007-12-17 23:59:59
106,103.2,105.44,105.5,103.2,3639104830.86,34675875,2007-12-18 00:00:00,2007-12-18 23:59:59
107,105.5,105.52,106.4,104.01,3910469313.94,37200666,2007-12-19 00:00:00,2007-12-19 23:59:59
108,106.09,105.97,106.49,104.6,3973730456.97,37644182,2007-12-20 00:00:00,2007-12-20 23:59:59
109,106.5,105.69,106.93,105.54,4058271373.89,38255537,2007-12-21 00:00:00,2007-12-21 23:59:59
110,106.5,105.37,106.79,105.02,2653653940.07,25144952,2007-12-24 00:00:00,2007-12-24 23:59:59
111,106.19,103.7,106.19,103.0,2055181702.36,19663119,2007-12-25 00:00:00,2007-12-25 23:59:59
112,103.29,103.62,104.39,102.76,2291786259.94,22135075,2007-12-26 00:00:00,2007-12-26 23:59:59
113,103.66,103.8,104.0,102.8,2216793255.46,21406392,2007-12-27 00:00:00,2007-12-27 23:59:59
114,103.25,102.0,103.65,101.83,1860831895.96,18102370,2007-12-28 00:00:00,2007-12-28 23:59:59
115,101.98,101.85,103.7,100.72,3275745925.44,32144450,2008-01-09 00:00:00,2008-01-09 23:59:59
116,102.23,103.53,103.81,101.53,4093536768.75,39813229,2008-01-10 00:00:00,2008-01-10 23:59:59
117,103.54,104.7,105.45,102.86,3431240023.19,32837601,2008-01-11 00:00:00,2008-01-11 23:59:59
118,104.41,105.0,105.3,104.2,2173372518.48,20744106,2008-01-14 00:00:00,2008-01-14 23:59:59
119,105.35,105.71,106.6,104.8,5445497689.34,51445207,2008-01-15 00:00:00,2008-01-15 23:59:59
120,104.2,101.8,104.5,100.02,6691215495.69,65607634,2008-01-16 00:00:00,2008-01-16 23:59:59
121,102.2,101.0,102.8,99.25,7492513058.28,74363206,2008-01-17 00:00:00,2008-01-17 23:59:59
122,100.5,98.8,100.75,97.35,7373523165.99,74547281,2008-01-18 00:00:00,2008-01-18 23:59:59
123,97.0,91.25,97.12,90.18,7555161766.3,80769882,2008-01-21 00:00:00,2008-01-21 23:59:59
124,86.4,93.0,99.4,75.01,10378507944.99,113473966,2008-01-22 00:00:00,2008-01-22 23:59:59
125,96.0,90.5,96.89,88.65,7030042140.54,76371931,2008-01-23 00:00:00,2008-01-23 23:59:59
126,94.63,96.5,96.85,92.82,8864351974.57,93757954,2008-01-24 00:00:00,2008-01-24 23:59:59
127,98.0,94.3,98.75,93.75,9480892066.25,98543849,2008-01-25 00:00:00,2008-01-25 23:59:59
128,91.0,89.53,92.98,89.3,6079407156.47,66824712,2008-01-28 00:00:00,2008-01-28 23:59:59
129,91.86,94.21,94.74,90.6,6826071122.95,73951740,2008-01-29 00:00:00,2008-01-29 23:59:59
130,93.61,91.99,93.61,90.92,5144072263.98,55691874,2008-01-30 00:00:00,2008-01-30 23:59:59
131,91.6,87.89,91.99,87.08,6780536865.84,75801654,2008-01-31 00:00:00,2008-01-31 23:59:59
132,90.88,90.2,92.49,88.25,8045943628.68,88648528,2008-02-01 00:00:00,2008-02-01 23:59:59
133,92.5,90.8,92.9,90.0,4309795283.94,47218805,2008-02-04 00:00:00,2008-02-04 23:59:59
134,90.0,87.2,92.0,86.25,7349485328.89,82283837,2008-02-05 00:00:00,2008-02-05 23:59:59
135,84.0,88.2,88.65,83.33,6343677955.8,73604512,2008-02-06 00:00:00,2008-02-06 23:59:59
136,88.0,84.89,88.64,82.25,7357864120.2,86346420,2008-02-07 00:00:00,2008-02-07 23:59:59
137,86.0,83.89,86.8,82.17,7230021510.58,85649642,2008-02-08 00:00:00,2008-02-08 23:59:59
138,83.93,83.2,84.7,82.05,4845489546.06,57778854,2008-02-11 00:00:00,2008-02-11 23:59:59
139,84.01,85.39,86.12,83.22,8576850809.17,101165440,2008-02-12 00:00:00,2008-02-12 23:59:59
140,85.01,85.45,86.1,83.5,7638864704.69,90124443,2008-02-13 00:00:00,2008-02-13 23:59:59
141,87.0,85.46,87.83,85.0,8415025050.92,96961766,2008-02-14 00:00:00,2008-02-14 23:59:59
142,85.0,83.4,85.2,82.87,5119309481.71,61013087,2008-02-15 00:00:00,2008-02-15 23:59:59
143,83.95,84.84,85.5,83.51,3374986373.03,39852006,2008-02-18 00:00:00,2008-02-18 23:59:59
144,85.4,85.0,85.67,83.62,6716704096.65,79491901,2008-02-19 00:00:00,2008-02-19 23:59:59
145,83.7,83.09,84.0,82.2,5114654794.01,61640448,2008-02-20 00:00:00,2008-02-20 23:59:59
146,84.33,83.75,85.1,83.62,6512411047.96,77205207,2008-02-21 00:00:00,2008-02-21 23:59:59
147,82.97,82.99,83.5,81.85,5153459383.01,62320469,2008-02-22 00:00:00,2008-02-22 23:59:59
148,82.97,82.94,83.5,81.85,5153459383.01,0,2008-02-25 00:00:00,2008-02-25 19:00:01
149,84.11,85.1,85.3,83.79,6885522171.77,81363764,2008-02-26 00:00:00,2008-02-26 23:59:59
150,85.7,83.78,86.4,83.4,5155818220.4,60785001,2008-02-27 00:00:00,2008-02-27 23:59:59
151,83.55,82.95,83.88,82.67,2956640997.79,35577473,2008-02-28 00:00:00,2008-02-28 23:59:59
152,82.4,80.2,83.16,79.62,6346836223.57,78340523,2008-02-29 00:00:00,2008-02-29 23:59:59
153,78.2,78.7,79.15,76.2,6881194354.02,88689891,2008-03-03 00:00:00,2008-03-03 23:59:59
154,79.0,76.5,79.6,75.5,6566707162.11,84997432,2008-03-04 00:00:00,2008-03-04 23:59:59
155,77.1,78.32,78.48,75.21,7435671844.24,96752185,2008-03-05 00:00:00,2008-03-05 23:59:59
156,79.39,77.1,79.7,76.62,6498852417.34,83344172,2008-03-06 00:00:00,2008-03-06 23:59:59
157,75.31,74.86,76.0,74.11,5571580289.65,74155141,2008-03-07 00:00:00,2008-03-07 23:59:59
158,75.03,78.6,78.7,73.8,9006790391.54,118123898,2008-03-11 00:00:00,2008-03-11 23:59:59
159,79.7,78.5,80.65,78.05,7426320713.31,93441928,2008-03-12 00:00:00,2008-03-12 23:59:59
160,77.0,75.9,77.3,75.54,5685690616.74,74414680,2008-03-13 00:00:00,2008-03-13 23:59:59
161,76.56,76.77,80.15,76.2,10112664250.35,129787039,2008-03-14 00:00:00,2008-03-14 23:59:59
162,74.9,72.81,75.2,71.11,8376135522.46,114770781,2008-03-17 00:00:00,2008-03-17 23:59:59
163,73.9,74.58,74.95,71.41,10057165556.72,136860978,2008-03-18 00:00:00,2008-03-18 23:59:59
164,76.4,74.5,76.9,74.01,12552593986.89,166466662,2008-03-19 00:00:00,2008-03-19 23:59:59
165,72.85,73.75,74.2,72.2,7364736454.18,100512042,2008-03-20 00:00:00,2008-03-20 23:59:59
166,74.75,74.46,75.25,74.28,3558043659.59,47616780,2008-03-21 00:00:00,2008-03-21 23:59:59
167,74.69,77.68,77.7,73.77,5604964927.81,74242525,2008-03-24 00:00:00,2008-03-24 23:59:59
168,77.98,75.0,78.0,74.12,9920782427.16,130022282,2008-03-25 00:00:00,2008-03-25 23:59:59
169,74.75,72.98,75.24,72.64,7300961518.08,99020707,2008-03-26 00:00:00,2008-03-26 23:59:59
170,72.7,72.95,74.9,72.23,10162332097.13,137814078,2008-03-27 00:00:00,2008-03-27 23:59:59
171,73.52,73.75,74.4,72.57,6517744026.62,88898909,2008-03-28 00:00:00,2008-03-28 23:59:59
172,72.91,73.48,74.85,72.4,6193204434.06,84028898,2008-03-31 00:00:00,2008-03-31 23:59:59
173,73.5,75.1,75.31,72.93,9703723492.56,130174567,2008-04-01 00:00:00,2008-04-01 23:59:59
174,76.8,78.75,79.39,76.5,18104163845.27,232712602,2008-04-02 00:00:00,2008-04-02 23:59:59
175,78.8,76.72,79.67,76.63,10681836805.95,137208467,2008-04-03 00:00:00,2008-04-03 23:59:59
176,77.11,77.35,78.2,76.56,7474188391.78,96729814,2008-04-04 00:00:00,2008-04-04 23:59:59
177,78.0,79.14,79.62,78.0,5806457632.37,73591568,2008-04-07 00:00:00,2008-04-07 23:59:59
178,78.53,77.5,78.98,77.4,4666826281.82,59709640,2008-04-08 00:00:00,2008-04-08 23:59:59
179,77.3,78.55,79.4,76.9,6414860203.58,81967956,2008-04-09 00:00:00,2008-04-09 23:59:59
180,78.21,77.3,78.74,77.09,5579894394.25,71848168,2008-04-10 00:00:00,2008-04-10 23:59:59
181,78.0,74.4,78.1,74.12,11618526656.72,153312322,2008-04-11 00:00:00,2008-04-11 23:59:59
182,73.46,73.96,74.48,72.73,5704404626.28,77627391,2008-04-14 00:00:00,2008-04-14 23:59:59
183,74.23,73.65,74.64,73.35,5258620050.54,71251676,2008-04-15 00:00:00,2008-04-15 23:59:59
184,74.0,75.0,75.83,73.23,9660541026.05,129437823,2008-04-16 00:00:00,2008-04-16 23:59:59
185,75.65,73.59,75.8,73.27,9239279676.9,124473035,2008-04-17 00:00:00,2008-04-17 23:59:59
186,73.74,76.56,76.91,73.46,13084015866.53,173270211,2008-04-18 00:00:00,2008-04-18 23:59:59
187,77.0,75.13,77.1,74.8,6802831905.9,89743070,2008-04-21 00:00:00,2008-04-21 23:59:59
188,74.8,74.86,75.54,74.36,4610808895.72,61475149,2008-04-22 00:00:00,2008-04-22 23:59:59
189,74.95,74.19,75.1,73.45,5853471803.4,78777021,2008-04-23 00:00:00,2008-04-23 23:59:59
190,74.36,73.99,74.92,73.12,5801988536.29,78595309,2008-04-24 00:00:00,2008-04-24 23:59:59
191,74.51,74.88,75.49,74.36,6884185552.11,91881694,2008-04-25 00:00:00,2008-04-25 23:59:59
192,75.2,75.54,76.18,74.87,5794583401.94,76582596,2008-04-28 00:00:00,2008-04-28 23:59:59
193,75.65,76.85,77.65,75.51,11867264069.88,154179915,2008-04-29 00:00:00,2008-04-29 23:59:59
194,76.85,77.1,77.35,75.56,9035180924.53,118123440,2008-04-30 00:00:00,2008-04-30 23:59:59
195,77.77,80.34,80.34,77.77,8047033412.97,101366911,2008-05-04 00:00:00,2008-05-04 23:59:59
196,80.0,80.8,82.08,79.89,12320686742.37,152113944,2008-05-05 00:00:00,2008-05-05 23:59:59
197,80.85,80.1,81.43,79.81,7373919866.18,91446014,2008-05-06 00:00:00,2008-05-06 23:59:59
198,80.98,82.25,82.89,80.37,7643938843.42,94024079,2008-05-07 00:00:00,2008-05-07 23:59:59
199,81.0,81.63,83.48,80.71,9823277583.27,0,2008-05-08 00:00:00,2008-05-08 19:00:01
200,80.99,83.1,83.22,80.25,9254669503.93,112895217,2008-05-12 00:00:00,2008-05-12 23:59:59
201,83.9,82.78,84.65,82.07,12913621207.7,154953476,2008-05-13 00:00:00,2008-05-13 23:59:59
202,82.85,84.1,84.35,81.78,9685920318.14,116412963,2008-05-14 00:00:00,2008-05-14 23:59:59
203,84.5,84.0,85.49,83.51,12820093207.36,151891963,2008-05-15 00:00:00,2008-05-15 23:59:59
204,84.65,85.7,86.1,84.22,9634230630.51,112940528,2008-05-16 00:00:00,2008-05-16 23:59:59
205,86.0,88.7,88.87,85.8,13543558394.45,154895563,2008-05-19 00:00:00,2008-05-19 23:59:59
206,88.25,87.36,88.27,86.5,10875149507.09,124622037,2008-05-20 00:00:00,2008-05-20 23:59:59
207,86.4,87.38,88.6,85.95,9233345487.86,105601198,2008-05-21 00:00:00,2008-05-21 23:59:59
208,86.9,85.58,86.95,85.17,10861574257.66,126049205,2008-05-22 00:00:00,2008-05-22 23:59:59
209,85.81,86.32,86.62,85.55,5333773410.66,61940988,2008-05-23 00:00:00,2008-05-23 23:59:59
210,85.88,84.4,86.18,84.3,4274664264.06,50286091,2008-05-26 00:00:00,2008-05-26 23:59:59
211,84.69,83.35,85.2,82.3,7463866376.78,89463549,2008-05-27 00:00:00,2008-05-27 23:59:59
212,83.5,84.79,85.03,83.01,6344306856.1,75381732,2008-05-28 00:00:00,2008-05-28 23:59:59
213,85.0,85.05,85.3,84.03,6659863883.91,78448777,2008-05-29 00:00:00,2008-05-29 23:59:59
214,85.56,85.2,86.06,85.11,4458069437.69,52114379,2008-05-30 00:00:00,2008-05-30 23:59:59
215,85.17,84.6,85.49,83.8,4710248296.61,55657693,2008-06-02 00:00:00,2008-06-02 23:59:59
216,83.52,83.89,83.9,82.86,5528585536.52,66365606,2008-06-03 00:00:00,2008-06-03 23:59:59
217,83.11,82.5,83.5,81.42,7026848666.18,85389323,2008-06-04 00:00:00,2008-06-04 23:59:59
218,81.99,82.2,84.17,81.8,7540224587.32,91010916,2008-06-05 00:00:00,2008-06-05 23:59:59
219,83.31,81.0,83.45,80.26,6469060489.55,78930686,2008-06-06 00:00:00,2008-06-06 23:59:59
220,79.51,78.62,79.75,77.82,4643157435.14,59138988,2008-06-07 00:00:00,2008-06-07 23:59:59
221,78.83,79.18,79.85,78.52,5488174551.0,69394281,2008-06-09 00:00:00,2008-06-09 23:59:59
222,78.5,78.86,79.07,77.51,5101055918.6,65186867,2008-06-10 00:00:00,2008-06-10 23:59:59
223,79.2,78.5,79.63,78.35,3013186352.39,38180890,2008-06-11 00:00:00,2008-06-11 23:59:59
224,79.4,78.89,80.36,78.7,3999886999.97,50226676,2008-06-16 00:00:00,2008-06-16 23:59:59
225,79.49,81.05,81.46,79.27,7273068514.97,90196962,2008-06-17 00:00:00,2008-06-17 23:59:59
226,80.69,80.65,81.79,80.24,5874907822.17,72643305,2008-06-18 00:00:00,2008-06-18 23:59:59
227,80.0,80.22,80.75,79.66,5025199357.57,62643706,2008-06-19 00:00:00,2008-06-19 23:59:59
228,80.2,79.0,80.75,78.5,5801571265.04,73224384,2008-06-20 00:00:00,2008-06-20 23:59:59
229,78.5,78.09,79.0,77.5,4278873920.66,54878972,2008-06-23 00:00:00,2008-06-23 23:59:59
230,78.0,76.41,78.07,76.28,4265406027.84,55510425,2008-06-24 00:00:00,2008-06-24 23:59:59
231,76.8,78.0,78.44,76.67,5900370808.62,75829967,2008-06-25 00:00:00,2008-06-25 23:59:59
232,78.77,77.47,78.78,76.8,4853922899.94,62632128,2008-06-26 00:00:00,2008-06-26 23:59:59
233,75.8,75.99,76.75,75.35,5874161111.94,77401187,2008-06-27 00:00:00,2008-06-27 23:59:59
234,75.9,74.29,76.2,73.92,4780459531.18,64058341,2008-06-30 00:00:00,2008-06-30 23:59:59
235,74.1,71.48,74.5,71.02,7075851357.86,97647099,2008-07-01 00:00:00,2008-07-01 23:59:59
236,72.2,72.7,73.48,71.4,7544435673.07,103794455,2008-07-02 00:00:00,2008-07-02 23:59:59
237,71.7,72.6,73.45,70.37,7285732062.74,101443999,2008-07-03 00:00:00,2008-07-03 23:59:59
238,73.01,72.32,73.1,71.57,3783870453.27,52425636,2008-07-04 00:00:00,2008-07-04 23:59:59
239,72.94,73.47,74.12,72.81,4575387325.53,62204883,2008-07-07 00:00:00,2008-07-07 23:59:59
240,72.01,74.28,74.44,70.76,7631868111.37,105600726,2008-07-08 00:00:00,2008-07-08 23:59:59
241,75.01,75.3,75.85,73.65,7498238635.57,100222822,2008-07-09 00:00:00,2008-07-09 23:59:59
242,73.9,75.1,75.74,73.27,6908611783.68,92664481,2008-07-10 00:00:00,2008-07-10 23:59:59
243,75.0,72.77,75.45,72.37,4985585902.05,67543007,2008-07-11 00:00:00,2008-07-11 23:59:59
244,73.32,74.64,75.12,73.03,3853447125.23,51902062,2008-07-14 00:00:00,2008-07-14 23:59:59
245,73.21,72.22,73.87,71.71,4974615586.0,68477174,2008-07-15 00:00:00,2008-07-15 23:59:59
246,72.5,72.78,73.25,70.25,8325840127.66,115961109,2008-07-16 00:00:00,2008-07-16 23:59:59
247,74.3,77.35,77.59,74.3,14839850575.87,195346751,2008-07-17 00:00:00,2008-07-17 23:59:59
248,76.5,75.35,77.85,75.0,14579490421.55,190785644,2008-07-18 00:00:00,2008-07-18 23:59:59
249,76.2,77.0,77.3,75.3,6726377145.35,87897195,2008-07-21 00:00:00,2008-07-21 23:59:59
250,76.25,74.35,76.45,74.16,6669401946.14,88927917,2008-07-22 00:00:00,2008-07-22 23:59:59
251,76.0,75.9,76.6,75.25,6124995221.73,80542022,2008-07-23 00:00:00,2008-07-23 23:59:59
252,76.49,75.71,76.73,75.45,6693058020.81,88038961,2008-07-24 00:00:00,2008-07-24 23:59:59
